Metric,SPY,Strategy
Risk-Free Rate,4.1%,4.1%
Time in Market,69.0%,70.0%
,,
Total Return,-10%,-4%
CAGR% (Annual Return),-9.05%,-3.75%
,,
Sharpe,-0.47,-0.76
RoMaD,-0.37,-0.31
Corr to Benchmark,1.0,0.3
Prob. Sharpe Ratio,13.03%,11.83%
Smart Sharpe,-0.46,-0.75
Sortino,-0.65,-1.01
Smart Sortino,-0.64,-1.0
Sortino/√2,-0.46,-0.71
Smart Sortino/√2,-0.45,-0.7
Omega,0.88,0.88
,,
Max Drawdown,-24.49%,-12.11%
Longest DD Days,319,318
Volatility (ann.),23.11%,9.65%
R^2,0.09,0.09
Information Ratio,0.01,0.01
Calmar,-0.37,-0.31
Skew,-0.07,-0.32
Kurtosis,2.25,2.59
,,
Expected Daily%,-0.03%,-0.01%
Expected Monthly%,-0.74%,-0.3%
Expected Yearly%,-5.04%,-2.06%
Daily Value-at-Risk,-2.01%,-0.84%
Expected Shortfall (cVaR),-2.01%,-0.84%
,,
MTD,2.54%,1.19%
3M,-6.79%,-2.7%
6M,-2.18%,-0.58%
YTD,-15.65%,-7.11%
1Y,-14.11%,-6.35%
3Y (ann.),-9.05%,-3.75%
5Y (ann.),-9.05%,-3.75%
10Y (ann.),-9.05%,-3.75%
All-time (ann.),-9.05%,-3.75%
,,
Best Day,5.5%,2.12%
Worst Day,-4.35%,-2.19%
Best Month,8.89%,3.52%
Worst Month,-9.24%,-4.51%
Best Year,6.91%,3.25%
Worst Year,-15.65%,-7.11%
,,
Avg. Drawdown,-3.79%,-2.07%
Avg. Drawdown Days,41,46
Recovery Factor,0.3,0.3
Ulcer Index,0.13,0.06
Serenity Index,-0.04,-0.06
,,
Avg. Up Month,5.19%,2.2%
Avg. Down Month,-6.29%,-2.87%
Win Days,191.52,205.28
Loss Days,207.48,193.72
Win Days%,48.0%,51.45%
Win Month%,42.86%,57.14%
Win Quarter%,40.0%,40.0%
Win Year%,50.0%,50.0%
,,
Beta,-,0.12
Alpha,-,-0.03
Correlation,-,29.87%
Treynor Ratio,-,-65.58%
