Metric,SPY,Strategy
Risk-Free Rate,4.2%,4.2%
Time in Market,68.0%,3.0%
,,
Total Return,-11%,-6%
CAGR% (Annual Return),-11.66%,-6.05%
,,
Sharpe,-0.56,-1.09
RoMaD,-0.48,-0.71
Corr to Benchmark,1.0,-0.12
Prob. Sharpe Ratio,11.95%,6.82%
Smart Sharpe,-0.56,-1.07
Sortino,-0.78,-1.33
Smart Sortino,-0.77,-1.31
Sortino/√2,-0.55,-0.94
Smart Sortino/√2,-0.55,-0.93
Omega,0.44,0.44
,,
Max Drawdown,-24.49%,-8.55%
Longest DD Days,324,354
Volatility (ann.),24.08%,9.14%
R^2,0.02,0.02
Information Ratio,0.01,0.01
Calmar,-0.48,-0.71
Skew,-0.04,-3.62
Kurtosis,1.95,86.8
,,
Expected Daily%,-0.03%,-0.02%
Expected Monthly%,-1.0%,-0.5%
Expected Yearly%,-5.83%,-2.98%
Daily Value-at-Risk,-2.1%,-0.8%
Expected Shortfall (cVaR),-2.1%,-0.8%
,,
MTD,2.54%,2.93%
3M,-3.79%,-2.57%
6M,0.63%,-2.55%
YTD,-15.65%,-5.59%
1Y,-11.33%,-5.88%
3Y (ann.),-11.66%,-6.05%
5Y (ann.),-11.66%,-6.05%
10Y (ann.),-11.66%,-6.05%
All-time (ann.),-11.66%,-6.05%
,,
Best Day,5.5%,4.34%
Worst Day,-4.35%,-5.34%
Best Month,8.89%,4.63%
Worst Month,-9.24%,-5.34%
Best Year,5.13%,-0.3%
Worst Year,-15.65%,-5.59%
,,
Avg. Drawdown,-5.76%,-8.55%
Avg. Drawdown Days,68,354
Recovery Factor,0.38,0.66
Ulcer Index,0.14,0.05
Serenity Index,-0.05,-0.11
,,
Avg. Up Month,2.54%,2.93%
Avg. Down Month,-4.63%,-2.41%
Win Days,160.56,118.33
Loss Days,194.44,236.67
Win Days%,45.23%,33.33%
Win Month%,41.67%,25.0%
Win Quarter%,40.0%,20.0%
Win Year%,50.0%,0.0%
,,
Beta,-,-0.05
Alpha,-,-0.06
Correlation,-,-12.62%
Treynor Ratio,-,210.3%
