Metric,SPY,Strategy
Risk-Free Rate,4.23%,4.23%
Time in Market,50.0%,50.0%
,,
Total Return,-2%,-0%
CAGR% (Annual Return),-91.5%,-10.43%
,,
Sharpe,-16.51,-14.2
RoMaD,-107.9,-
Corr to Benchmark,1.0,0.74
Prob. Sharpe Ratio,-,1.74%
Smart Sharpe,-8.25,-7.1
Sortino,-13.49,-12.44
Smart Sortino,-6.75,-6.22
Sortino/√2,-9.54,-8.8
Smart Sortino/√2,-4.77,-4.4
Omega,0.0,0.0
,,
Max Drawdown,-0.85%,-
Longest DD Days,-,-
Volatility (ann.),11.39%,0.87%
R^2,0.54,0.54
Information Ratio,0.85,0.85
Calmar,-107.9,-
Skew,-0.24,-2.0
Kurtosis,-4.61,4.0
,,
Expected Daily%,-0.51%,-0.02%
Expected Monthly%,-2.01%,-0.09%
Expected Yearly%,-2.01%,-0.09%
Daily Value-at-Risk,-1.48%,-0.1%
Expected Shortfall (cVaR),-1.48%,-0.1%
,,
MTD,-2.01%,-0.09%
3M,-2.01%,-0.09%
6M,-2.01%,-0.09%
YTD,-2.01%,-0.09%
1Y,-2.01%,-0.09%
3Y (ann.),-91.5%,-10.43%
5Y (ann.),-91.5%,-10.43%
10Y (ann.),-91.5%,-10.43%
All-time (ann.),-91.5%,-10.43%
,,
Best Day,0.0%,0.0%
Worst Day,-1.17%,-0.09%
Best Month,-2.01%,-0.09%
Worst Month,-2.01%,-0.09%
Best Year,-2.01%,-0.09%
Worst Year,-2.01%,-0.09%
,,
Avg. Drawdown,-0.85%,-
Avg. Drawdown Days,-,-
Recovery Factor,2.38,-
Ulcer Index,0.01,0.0
Serenity Index,-3.29,-
,,
Avg. Up Month,-,-
Avg. Down Month,-2.01%,-0.09%
Win Days,0.0,2.0
Loss Days,4.0,2.0
Win Days%,0.0%,50.0%
Win Month%,0.0%,0.0%
Win Quarter%,0.0%,0.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.06
Alpha,-,0.02
Correlation,-,73.71%
Treynor Ratio,-,-76.45%
